,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
tchyrs_0thru3_pct,0.42,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.92
lateral_teach_pct,0.42,0.39,0.7,0.63,0.77,0.08,0.74,0.63,0.55
Proficient_TCHR_Standard 1_Pct,0.42,0.53,0.52,0.54,0.85,0.1,0.48,0.49,0.49
tchyrs_11plus_pct,0.42,0.77,0.3,0.31,0.85,0.06,0.45,0.52,0.46
flicensed_teach_pct,0.42,0.23,0.33,0.22,0.85,0.21,0.66,0.69,0.45
Developing_TCHR_Standard 4_Pct,0.42,0.48,0.6,0.6,0.63,0.03,0.32,0.31,0.42
Crime_Rate_Murder_Rate,0.42,0.63,0.55,0.63,0.76,0.01,0.15,0.14,0.41
Attrition_Reason_OtherReasonsPerct,0.42,0.48,0.52,0.48,0.84,0.07,0.16,0.24,0.4
st_avg_student_num,1.0,0.43,0.33,0.31,0.98,0.0,0.01,0.11,0.4
EOG/EOCSubjects_CACR_AIG,0.42,0.69,0.38,0.5,0.8,0.02,0.08,0.3,0.4
Proficient_TCHR_Standard 2_Pct,0.42,0.45,0.33,0.31,0.89,0.03,0.33,0.41,0.4
Accomplished_TCHR_Standard 2_Pct,0.42,0.48,0.36,0.37,0.89,0.03,0.26,0.26,0.38
Proficient_TCHR_Standard 3_Pct,0.42,0.4,0.33,0.31,0.87,0.03,0.28,0.38,0.38
Health care individual responsibility payment Amt GE200K,0.42,0.92,0.33,0.44,0.86,0.0,0.0,0.04,0.38
lea_services_expense_pct,0.27,0.55,0.41,0.43,1.0,0.03,0.18,0.17,0.38
lea_tchyrs_0thru3_pct,0.42,0.45,0.47,0.46,0.33,0.11,0.48,0.34,0.38
Developing_TCHR_Standard 2_Pct,0.42,0.47,0.39,0.39,0.77,0.02,0.2,0.29,0.37
Accomplished_TCHR_Standard 3_Pct,0.42,0.4,0.33,0.31,0.87,0.03,0.29,0.32,0.37
Accomplished_TCHR_Standard 4_Pct,0.42,0.41,0.33,0.31,0.61,0.04,0.4,0.41,0.37
Accomplished_TCHR_Standard 5_Pct,0.42,0.44,0.33,0.31,0.88,0.03,0.25,0.3,0.37
Proficient_TCHR_Standard 5_Pct,0.42,0.44,0.33,0.31,0.88,0.02,0.26,0.28,0.37
Proficient_TCHR_Standard 4_Pct,0.42,0.38,0.33,0.3,0.61,0.04,0.41,0.46,0.37
EOGGr3_CACR_White,0.42,0.55,0.35,0.4,0.77,0.01,0.13,0.23,0.36
EOG/EOCSubjects_CACR_White,0.42,0.52,0.44,0.44,0.62,0.03,0.16,0.24,0.36
MathGr3-8_pTarget_PctMet,0.42,0.72,0.41,0.48,0.73,0.0,0.01,0.08,0.36
EOG/EOCSubjects_CACR_All,0.42,0.36,0.33,0.31,0.5,0.03,0.32,0.53,0.35
EOGGr5_CACR_White,0.42,0.58,0.42,0.43,0.66,0.01,0.1,0.21,0.35
category_cd_E,0.61,0.42,0.33,0.31,0.99,0.0,0.04,0.09,0.35
EOGMathGr4_CACR_White,0.42,0.53,0.37,0.39,0.68,0.0,0.14,0.27,0.35
lea_federal_perpupil_num,0.43,0.43,0.33,0.31,0.94,0.01,0.14,0.13,0.34
st_expelled_per_c_num,0.57,0.44,0.33,0.31,0.96,0.0,0.02,0.05,0.34
st_flicensed_teach_pct,0.52,0.43,0.33,0.31,1.0,0.0,0.02,0.09,0.34
SPG Score,0.42,0.33,0.29,0.27,0.62,0.03,0.22,0.51,0.34
st_long_susp_per_c_num,0.53,0.44,0.33,0.31,0.98,0.0,0.04,0.11,0.34
Developing_TCHR_Standard 3_Pct,0.42,0.42,0.33,0.31,0.87,0.01,0.15,0.23,0.34
st_crime_per_c_num,0.46,0.44,0.33,0.34,0.94,0.0,0.05,0.12,0.34
EOGMathGr4_CACR_EDS,0.42,0.52,0.42,0.43,0.65,0.01,0.08,0.2,0.34
tchyrs_4thru10_pct,0.42,0.68,0.33,0.35,0.85,0.04,0.02,0.03,0.34
Developing_TCHR_Standard 5_Pct,0.42,0.41,0.33,0.31,0.88,0.01,0.13,0.23,0.34
Attrition_Reason_OtherReasons,0.42,0.59,0.33,0.37,0.89,0.01,0.0,0.14,0.34
Does Not Meet Expected Growth_TCHR_Student Growth_Pct,0.42,0.5,0.45,0.45,0.54,0.04,0.16,0.2,0.34
short_susp_per_c_num,0.42,0.48,0.33,0.31,0.43,0.19,0.16,0.43,0.34
Number of farm returns 100KLT200K,0.39,0.55,0.33,0.31,0.93,0.01,0.04,0.12,0.34
st_tchyrs_0thru3_pct,0.61,0.44,0.33,0.31,0.98,0.0,0.0,0.04,0.34
st_tchyrs_11plus_pct,0.55,0.43,0.33,0.31,0.99,0.0,0.01,0.12,0.34
Number of farm returns All,0.51,0.48,0.33,0.31,0.94,0.01,0.06,0.11,0.34
Accomplished_TCHR_Standard 1_Pct,0.42,0.34,0.25,0.25,0.6,0.06,0.38,0.38,0.34
Science Score,0.42,0.59,0.33,0.38,0.62,0.01,0.06,0.27,0.34
Distinguished_TCHR_Standard 5_Pct,0.42,0.49,0.33,0.38,0.88,0.02,0.06,0.14,0.34
EOGSubjects_CACR_SWD,0.42,0.64,0.33,0.37,0.52,0.01,0.11,0.22,0.33
(TCE) prepared returns Ct 25KLT50K,0.42,0.58,0.33,0.31,0.86,0.01,0.02,0.13,0.33
Number of farm returns LT25K,0.41,0.46,0.33,0.31,0.92,0.02,0.08,0.13,0.33
Crime_Rate_Rape_Rate,0.42,0.52,0.45,0.45,0.7,0.02,0.01,0.07,0.33
EOGGr3_CACR_SWD,0.42,0.51,0.43,0.42,0.59,0.01,0.07,0.16,0.33
Self-employed (Keogh) retirement plans Ct LT25K,0.42,0.62,0.34,0.36,0.82,0.0,0.0,0.05,0.33
Tuition and fees deduction Amt 75KLT100K,0.42,0.65,0.33,0.31,0.83,0.0,0.01,0.08,0.33
Number of farm returns 50KLT75K,0.41,0.54,0.33,0.31,0.93,0.01,0.02,0.08,0.33
lea_state_perpupil_num,0.43,0.47,0.33,0.31,0.95,0.01,0.05,0.11,0.33
lea_total_expense_num,0.42,0.43,0.33,0.31,0.95,0.01,0.06,0.08,0.32
pct_eds,0.42,0.46,0.42,0.41,0.28,0.06,0.2,0.28,0.32
lea_avg_daily_attend_pct,0.42,0.46,0.33,0.37,0.69,0.01,0.09,0.2,0.32
EOCMathI_CACR_Hispanic,0.42,0.54,0.38,0.43,0.67,0.0,0.0,0.14,0.32
school_type_txt_Regular School,0.45,0.49,0.31,0.31,0.97,0.0,0.02,0.04,0.32
EOGMathGr3-8_CACR_EDS,0.42,0.51,0.33,0.31,0.54,0.01,0.12,0.29,0.32
lea_instruct_equip_exp_pct,0.36,0.49,0.34,0.36,1.0,0.02,0.0,0.03,0.32
category_cd_I,0.45,0.42,0.33,0.31,0.99,0.0,0.01,0.05,0.32
4-10 Years_LEA_Exp_Pct_Prin,0.42,0.45,0.33,0.31,0.9,0.03,0.02,0.08,0.32
Reading SPG Score,0.42,0.5,0.33,0.31,0.51,0.01,0.09,0.36,0.32
10+ Years_LEA_Exp_Pct_Prin,0.42,0.47,0.33,0.31,0.9,0.01,0.02,0.07,0.32
Investment interest paid Amt 25KLT50K,0.42,0.64,0.33,0.31,0.72,0.0,0.02,0.08,0.32
Excess earned income credit (refundable) Amt 50KLT75K,0.42,0.6,0.33,0.31,0.82,0.0,0.01,0.11,0.32
Distinguished_TCHR_Standard 3_Pct,0.42,0.42,0.33,0.31,0.87,0.01,0.06,0.11,0.32
Developing_TCHR_Standard 1_Pct,0.42,0.43,0.33,0.31,0.6,0.03,0.2,0.2,0.32
Number of farm returns 25KLT50K,0.41,0.5,0.33,0.31,0.93,0.01,0.04,0.07,0.32
(VITA) prepared returns Ct 100KLT200K,0.42,0.5,0.33,0.31,0.81,0.0,0.02,0.17,0.32
category_cd_M,0.39,0.44,0.34,0.32,0.96,0.0,0.03,0.05,0.32
calendar_only_txt_Year-Round Calendar,0.43,0.44,0.33,0.31,0.95,0.0,0.0,0.01,0.31
school_type_txt_Magnet School,0.41,0.46,0.33,0.31,0.95,0.0,0.0,0.03,0.31
Attrition_Reason_PersonalPerct,0.42,0.44,0.33,0.31,0.84,0.01,0.03,0.07,0.31
EOG/EOCSubjects_CACR_Black,0.42,0.54,0.41,0.44,0.49,0.04,0.01,0.13,0.31
SBE District_Southwest,0.42,0.51,0.38,0.38,0.78,0.0,0.01,0.03,0.31
st_avg_daily_attend_pct,0.39,0.41,0.33,0.31,0.97,0.0,0.0,0.04,0.31
EOG/EOCSubjects_CACR_LEP,0.42,0.54,0.33,0.33,0.74,0.01,0.03,0.1,0.31
EOGMathGr3_CACR_White,0.42,0.28,0.24,0.2,0.78,0.01,0.17,0.35,0.31
Attrition_Reason_InitiatedPerct,0.42,0.42,0.33,0.31,0.84,0.01,0.05,0.08,0.31
"calendar_type_txt_Magnet School, Traditional Calendar",0.43,0.46,0.29,0.29,0.96,0.0,0.0,0.03,0.31
LEACode,0.42,0.43,0.33,0.32,0.91,0.01,0.0,0.03,0.31
lea_sat_participation_pct,0.42,0.54,0.41,0.43,0.63,0.02,0.02,0.05,0.31
Advance premium tax credit Amt GE200K,0.42,0.59,0.33,0.41,0.73,0.0,0.0,0.01,0.31
Alternative minimum tax Ct 75KLT100K,0.42,0.64,0.33,0.31,0.78,0.0,0.0,0.03,0.31
lea_ap_pct_3_or_above,0.42,0.48,0.31,0.3,0.59,0.02,0.17,0.2,0.31
Domestic production activities deduction Ct 75KLT100K,0.42,0.67,0.44,0.53,0.37,0.0,0.0,0.08,0.31
"calendar_type_txt_Magnet School, Year-Round Calendar",0.43,0.45,0.33,0.33,0.91,0.0,0.01,0.04,0.31
lea_supplies_expense_pct,0.27,0.41,0.33,0.31,1.0,0.01,0.04,0.08,0.31
"calendar_type_txt_Regular School, Traditional Calendar",0.39,0.48,0.33,0.31,0.97,0.0,0.01,0.02,0.31
04_Size,0.42,0.52,0.33,0.36,0.67,0.01,0.05,0.12,0.31
Crime_Rate_Robbery_Rate,0.42,0.51,0.33,0.31,0.8,0.01,0.03,0.1,0.31
unit_code,0.42,0.43,0.34,0.34,0.91,0.02,0.0,0.03,0.31
Deductible points Amt LT25K,0.42,0.52,0.33,0.31,0.82,0.0,0.0,0.07,0.31
"calendar_type_txt_Regular School, Year-Round Calendar",0.4,0.43,0.32,0.31,0.97,0.0,0.01,0.02,0.31
Distinguished_TCHR_Standard 2_Pct,0.42,0.37,0.3,0.23,0.89,0.02,0.09,0.18,0.31
EOGGr4_CACR_All,0.42,0.31,0.33,0.28,0.66,0.01,0.14,0.33,0.31
Pct of Anticipation Checks,0.42,0.42,0.33,0.31,0.68,0.01,0.13,0.18,0.31
Domestic production activities deduction Amt 50KLT75K,0.42,0.5,0.33,0.34,0.72,0.0,0.02,0.12,0.31
st_short_susp_per_c_num,0.26,0.45,0.33,0.32,0.96,0.0,0.07,0.12,0.31
nbpts_num,0.42,0.47,0.33,0.32,0.4,0.02,0.12,0.38,0.31
lea_local_perpupil_num,0.43,0.37,0.33,0.31,0.94,0.01,0.0,0.07,0.31
Other non-limited misc deduction Amt LT25K,0.42,0.47,0.33,0.31,0.81,0.0,0.0,0.07,0.3
SBE District_Southeast,0.42,0.52,0.34,0.35,0.76,0.0,0.01,0.03,0.3
Number of farm returns GE200K,0.42,0.35,0.33,0.31,0.92,0.0,0.01,0.07,0.3
lea_long_susp_per_c_num,0.42,0.51,0.33,0.44,0.55,0.01,0.03,0.09,0.3
EOGMathGr5_CACR_Hispanic,0.42,0.55,0.37,0.4,0.56,0.01,0.0,0.07,0.3
SBE District_Sandhills,0.42,0.53,0.35,0.39,0.65,0.0,0.01,0.03,0.3
EOGReadingGr3-8_CACR_EDS,0.42,0.33,0.33,0.31,0.56,0.01,0.11,0.3,0.3
EOGReadingGr3_CACR_Black,0.42,0.53,0.35,0.38,0.57,0.01,0.0,0.1,0.3
EOGGr5_CACR_All,0.42,0.33,0.33,0.31,0.57,0.0,0.12,0.28,0.3
EOGScienceGr5&8_CACR_EDS,0.42,0.52,0.33,0.31,0.56,0.01,0.05,0.19,0.3
esea_status_P,0.42,0.47,0.4,0.39,0.46,0.0,0.1,0.15,0.3
lea_wap_num,0.42,0.53,0.33,0.31,0.7,0.01,0.01,0.08,0.3
lea_stud_internet_comp_num,0.42,0.5,0.33,0.34,0.79,0.01,0.0,0.04,0.3
Domestic production activities deduction Amt 100KLT200K,0.42,0.46,0.34,0.37,0.71,0.01,0.02,0.06,0.3
Crime_Rate_MVT_Rate,0.42,0.54,0.33,0.31,0.75,0.02,0.0,0.01,0.3
st_emer_prov_teach_pct,0.24,0.43,0.35,0.34,1.0,0.0,0.0,0.07,0.3
(VITA) prepared returns Ct 50KLT75K,0.42,0.44,0.33,0.31,0.86,0.0,0.0,0.07,0.3
0-3 Years_LEA_Exp_Pct_Prin,0.42,0.39,0.29,0.24,0.91,0.03,0.05,0.09,0.3
st_nbpts_num,0.24,0.44,0.33,0.31,0.99,0.0,0.0,0.07,0.3
EOGMathGr5_CACR_White,0.42,0.48,0.33,0.33,0.32,0.0,0.15,0.28,0.29
SPG Grade_D,0.42,0.39,0.33,0.31,0.48,0.0,0.16,0.24,0.29
EOGMathGr3-8_CACR_SWD,0.42,0.39,0.33,0.31,0.52,0.01,0.12,0.24,0.29
EOGMathGr3-8_CACR_TwoorMoreRaces,0.42,0.48,0.37,0.37,0.48,0.0,0.02,0.15,0.29
Investment interest paid Ct LT25K,0.42,0.4,0.33,0.32,0.76,0.0,0.0,0.05,0.29
Math SPG Grade_D,0.42,0.47,0.36,0.36,0.54,0.0,0.07,0.12,0.29
Attrition_Reason_BeyondControlPerct,0.42,0.37,0.28,0.23,0.84,0.01,0.07,0.11,0.29
lea_flicensed_teach_pct,0.42,0.43,0.33,0.31,0.07,0.07,0.42,0.3,0.29
lea_sat_avg_score_num,0.42,0.32,0.25,0.1,0.64,0.1,0.16,0.3,0.29
EOGMathGr4_CACR_AIG,0.42,0.47,0.35,0.34,0.51,0.0,0.06,0.14,0.29
Add child tax credit Amt 25KLT50K,0.42,0.2,0.33,0.31,0.9,0.01,0.01,0.1,0.29
Domestic production activities deduction Ct LT25K,0.42,0.5,0.32,0.31,0.75,0.0,0.01,0.04,0.29
EOG/EOCSubjects_CACR_EDS,0.42,0.33,0.27,0.16,0.49,0.04,0.23,0.4,0.29
student_num,0.42,0.37,0.33,0.29,0.48,0.07,0.0,0.35,0.29
EOGSubjects_CACR_LEP,0.42,0.36,0.33,0.31,0.74,0.01,0.03,0.09,0.29
Other non-limited misc deduction Ct LT25K,0.42,0.34,0.33,0.31,0.81,0.0,0.0,0.07,0.29
Distinguished_TCHR_Standard 4_Pct,0.42,0.45,0.33,0.33,0.6,0.01,0.06,0.15,0.29
SPG Grade_B,0.42,0.35,0.3,0.28,0.5,0.0,0.12,0.31,0.29
Residential energy tax credit Amt LT25K,0.42,0.48,0.33,0.31,0.76,0.0,0.0,0.03,0.29
Other non-limited misc deduction Ct 75KLT100K,0.42,0.49,0.33,0.31,0.68,0.0,0.01,0.11,0.29
EOGScienceGr5_CACR_EDS,0.42,0.34,0.27,0.25,0.66,0.01,0.08,0.2,0.28
EOCSubjects_CACR_LEP,0.42,0.37,0.33,0.31,0.74,0.0,0.0,0.07,0.28
EOGMathGr5_CACR_Black,0.42,0.5,0.33,0.34,0.52,0.0,0.0,0.1,0.28
Alternative minimum tax Amt 50KLT75K,0.42,0.47,0.33,0.31,0.71,0.0,0.0,0.04,0.28
Distinguished_TCHR_Standard 1_Pct,0.42,0.33,0.33,0.31,0.61,0.02,0.08,0.11,0.28
EOG/EOCSubjects_CACR_Asian,0.42,0.53,0.36,0.36,0.45,0.01,0.01,0.12,0.28
EOGSubjects_CACR_Hispanic,0.42,0.48,0.35,0.39,0.42,0.01,0.05,0.15,0.28
EOGScienceGr5&8_CACR_White,0.42,0.32,0.3,0.27,0.62,0.01,0.11,0.22,0.28
EOGScienceGr5&8_CACR_Black,0.42,0.5,0.33,0.34,0.44,0.01,0.01,0.18,0.28
Domestic production activities deduction Ct 25KLT50K,0.42,0.45,0.34,0.31,0.69,0.0,0.01,0.06,0.28
Domestic production activities deduction Ct 50KLT75K,0.42,0.29,0.33,0.31,0.72,0.0,0.03,0.12,0.28
Self-employed (Keogh) retirement plans Amt LT25K,0.42,0.34,0.33,0.31,0.79,0.0,0.0,0.05,0.28
Crime_Rate_Arson_Rate,0.42,0.52,0.28,0.31,0.64,0.01,0.0,0.02,0.28
Residential energy tax credit Ct LT25K,0.42,0.39,0.33,0.3,0.77,0.0,0.0,0.03,0.28
advance_dgr_pct,0.42,0.45,0.37,0.39,0.21,0.04,0.14,0.19,0.28
EOGGr3_CACR_EDS,0.42,0.41,0.27,0.26,0.54,0.0,0.13,0.23,0.28
Pct of Farm Returns,0.42,0.41,0.33,0.37,0.64,0.02,0.01,0.06,0.28
EOG/EOCSubjects_CACR_SWD,0.42,0.32,0.33,0.31,0.47,0.02,0.12,0.25,0.28
EOGGr4_CACR_AIG,0.42,0.48,0.35,0.35,0.43,0.0,0.09,0.16,0.28
SBE District_Northeast,0.42,0.45,0.28,0.29,0.65,0.0,0.03,0.06,0.27
EOGReadingGr3_CACR_LEP,0.42,0.49,0.33,0.31,0.58,0.0,0.01,0.03,0.27
SBE District_Western,0.42,0.44,0.33,0.33,0.63,0.0,0.01,0.03,0.27
Math SPG Grade_C,0.42,0.46,0.34,0.35,0.53,0.0,0.02,0.06,0.27
EOCMathI_CACR_Male,0.42,0.48,0.34,0.34,0.51,0.0,0.0,0.09,0.27
Earned income credit Amt 50KLT75K,0.42,0.24,0.33,0.28,0.79,0.0,0.0,0.08,0.27
EOGGr3_CACR_All,0.42,0.44,0.33,0.31,0.24,0.01,0.15,0.29,0.27
SBE District_Piedmont-Triad,0.42,0.41,0.31,0.31,0.65,0.0,0.01,0.02,0.27
(VITA) prepared returns Ct 25KLT50K,0.42,0.19,0.33,0.31,0.79,0.01,0.01,0.09,0.27
Other non-limited misc deduction Amt 75KLT100K,0.42,0.3,0.27,0.28,0.78,0.0,0.01,0.11,0.27
Reading SPG Grade_B,0.42,0.44,0.33,0.31,0.27,0.0,0.1,0.26,0.27
EOGReadingGr4_CACR_SWD,0.42,0.49,0.33,0.31,0.49,0.0,0.05,0.11,0.27
EOCMathI_CACR_AIG,0.42,0.48,0.37,0.35,0.47,0.0,0.0,0.06,0.27
avg_age_media_collection,0.42,0.47,0.33,0.31,0.57,0.04,0.0,0.04,0.27
EOGMathGr3-8_CACR_AIG,0.42,0.39,0.31,0.29,0.39,0.01,0.07,0.26,0.27
Domestic production activities deduction Amt 25KLT50K,0.42,0.32,0.32,0.31,0.74,0.0,0.0,0.06,0.27
EOG/EOCSubjects_GLP_LEP,0.42,0.41,0.33,0.31,0.53,0.01,0.03,0.12,0.27
Other non-limited misc deduction Amt 50KLT75K,0.42,0.33,0.33,0.31,0.69,0.0,0.02,0.06,0.27
EOGGr4_CACR_SWD,0.42,0.47,0.33,0.37,0.36,0.01,0.08,0.15,0.27
lea_salary_expense_pct,0.17,0.34,0.18,0.12,1.0,0.02,0.17,0.16,0.27
Alternative minimum tax Amt 25KLT50K,0.42,0.38,0.3,0.26,0.71,0.0,0.0,0.06,0.27
Tot Add Medicare tax Amt 25KLT50K,0.42,0.35,0.33,0.31,0.7,0.0,0.0,0.02,0.27
category_cd_H,0.0,0.43,0.33,0.31,0.98,0.0,0.0,0.08,0.27
Add child tax credit Amt 75KLT100K,0.42,0.31,0.33,0.31,0.73,0.0,0.02,0.07,0.27
EOGGr4_GLP_LEP,0.42,0.49,0.33,0.31,0.59,0.0,0.0,0.03,0.27
EOCSubjects_GLP_LEP,0.42,0.47,0.33,0.31,0.53,0.0,0.0,0.13,0.27
