,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
lea_ap_participation_pct,0.42,0.54,0.39,0.4,0.28,0.01,0.02,0.1,0.27
EOGReadingGr5_CACR_EDS,0.42,0.49,0.33,0.31,0.3,0.01,0.08,0.19,0.27
lea_short_susp_per_c_num,0.42,0.35,0.33,0.26,0.44,0.04,0.08,0.23,0.27
EOGScienceGr5&8_CACR_Hispanic,0.42,0.35,0.33,0.28,0.56,0.01,0.0,0.15,0.26
Crime_Rate_Burglary_Rate,0.42,0.45,0.23,0.2,0.69,0.01,0.02,0.09,0.26
lea_tchyrs_11plus_pct,0.42,0.4,0.33,0.31,0.29,0.02,0.19,0.15,0.26
digital_media_pct,0.42,0.47,0.35,0.39,0.41,0.02,0.0,0.04,0.26
Crime_Rate_Violent_Rate,0.42,0.18,0.31,0.2,0.8,0.01,0.04,0.11,0.26
Reading SPG Grade_D,0.42,0.44,0.33,0.32,0.27,0.0,0.11,0.19,0.26
long_susp_per_c_num,0.42,0.41,0.33,0.56,0.29,0.01,0.03,0.06,0.26
EOGGr4_CACR_White,0.42,0.21,0.23,0.15,0.68,0.0,0.13,0.26,0.26
lea_wap_per_classroom,0.42,0.36,0.33,0.26,0.64,0.02,0.01,0.03,0.26
EOGReadingGr5_CACR_SWD,0.42,0.5,0.34,0.37,0.4,0.0,0.02,0.05,0.26
03_Size,0.42,0.33,0.25,0.2,0.67,0.01,0.06,0.14,0.26
lea_advance_dgr_pct,0.42,0.44,0.33,0.31,0.32,0.03,0.1,0.17,0.26
EOGMathGr3_CACR_EDS,0.42,0.41,0.33,0.31,0.27,0.01,0.11,0.18,0.26
lea_nbpts_num,0.42,0.38,0.26,0.23,0.42,0.01,0.1,0.24,0.26
EOCSubjects_CACR_TwoorMoreRaces,0.42,0.46,0.36,0.36,0.31,0.0,0.0,0.16,0.26
EOCSubjects_CACR_SWD,0.42,0.47,0.33,0.31,0.47,0.0,0.0,0.08,0.26
Number of farm returns 75KLT100K,0.41,0.17,0.24,0.19,0.92,0.01,0.04,0.13,0.26
EOGMathGr3_CACR_LEP,0.42,0.51,0.33,0.31,0.48,0.0,0.01,0.04,0.26
Alternative minimum tax Amt 75KLT100K,0.42,0.27,0.31,0.31,0.7,0.0,0.0,0.03,0.26
lea_ib_pct_4_or_above,0.42,0.55,0.34,0.34,0.36,0.0,0.0,0.05,0.26
Alternative minimum tax Ct 50KLT75K,0.42,0.34,0.31,0.28,0.72,0.0,0.0,0.04,0.26
SciGr5&8_pTarget_PctMet,0.42,0.33,0.32,0.29,0.58,0.0,0.01,0.09,0.26
Not Demostrated_TCHR_Standard 1_Pct,0.42,0.48,0.43,0.6,0.16,0.0,0.0,0.02,0.26
EOGMathGr3_CACR_Black,0.42,0.34,0.33,0.3,0.57,0.0,0.0,0.09,0.26
Attrition_Reason_InitiatedbyLEA,0.42,0.15,0.33,0.3,0.83,0.0,0.0,0.05,0.26
Math I_Size,0.42,0.46,0.33,0.34,0.4,0.01,0.02,0.11,0.26
EOGReadingGr4_CACR_AmericanIndian,0.42,0.5,0.33,0.31,0.55,0.0,0.0,0.01,0.26
Avg Personal Property Taxes,0.42,0.46,0.33,0.31,0.33,0.01,0.06,0.15,0.26
EOGMathGr3-8_CACR_White,0.42,0.46,0.33,0.31,0.19,0.01,0.12,0.26,0.26
Net investment income tax Amt 100KLT200K,0.42,0.1,0.33,0.29,0.83,0.0,0.0,0.04,0.25
avg_daily_attend_pct,0.42,0.45,0.33,0.31,0.14,0.04,0.12,0.19,0.25
Grad_project_status_Y,0.42,0.46,0.36,0.35,0.38,0.0,0.02,0.04,0.25
Math SPG Grade_B,0.42,0.41,0.31,0.31,0.21,0.0,0.12,0.23,0.25
EVAAS Growth Score,0.42,0.36,0.32,0.27,0.39,0.03,0.04,0.13,0.25
Number of volunteer prepared returns Tot 50KLT75K,0.42,0.55,0.33,0.31,0.32,0.0,0.0,0.05,0.25
05_Size,0.42,0.38,0.33,0.29,0.38,0.01,0.04,0.12,0.25
EOGGr4_CACR_LEP,0.42,0.35,0.33,0.31,0.59,0.0,0.0,0.02,0.25
EOGSubjects_CACR_Asian,0.42,0.37,0.33,0.31,0.45,0.0,0.02,0.08,0.25
lea_crime_per_c_num,0.42,0.37,0.33,0.15,0.55,0.02,0.02,0.13,0.25
EOGGr5_CACR_SWD,0.42,0.36,0.29,0.22,0.44,0.01,0.08,0.16,0.25
EOGMathGr3-8_CACR_Black,0.42,0.35,0.32,0.25,0.49,0.01,0.01,0.17,0.25
EOGMathGr3-8_CACR_LEP,0.42,0.37,0.33,0.31,0.43,0.01,0.02,0.08,0.25
EOGMathGr4_CACR_AmericanIndian,0.42,0.35,0.33,0.31,0.55,0.0,0.0,0.01,0.25
EOGMathGr4_CACR_Hispanic,0.42,0.45,0.33,0.31,0.37,0.01,0.02,0.07,0.25
EOCSubjects_CACR_Hispanic,0.42,0.3,0.28,0.2,0.66,0.01,0.0,0.11,0.25
EOGMathGr5_CACR_LEP,0.42,0.48,0.33,0.33,0.45,0.0,0.0,0.02,0.25
EOGMathGr5_CACR_TwoorMoreRaces,0.42,0.46,0.34,0.36,0.38,0.0,0.0,0.01,0.25
EOGReadingGr3-8_CACR_Black,0.42,0.4,0.33,0.31,0.3,0.01,0.0,0.22,0.25
EOCSubjects_CACR_AIG,0.42,0.38,0.33,0.31,0.47,0.0,0.0,0.06,0.25
EOGReadingGr3-8_CACR_SWD,0.42,0.35,0.33,0.31,0.39,0.01,0.08,0.13,0.25
EOGGr4_CACR_Black,0.42,0.46,0.33,0.31,0.34,0.01,0.01,0.1,0.25
EOGReadingGr3-8_GLP_LEP,0.42,0.45,0.32,0.3,0.43,0.01,0.02,0.08,0.25
EOGReadingGr3-8_CACR_TwoorMoreRaces,0.42,0.45,0.33,0.33,0.31,0.01,0.01,0.15,0.25
EOGScienceGr5&8_CACR_AIG,0.42,0.33,0.29,0.27,0.51,0.0,0.05,0.15,0.25
Domestic production activities deduction Amt LT25K,0.42,0.4,0.33,0.31,0.46,0.0,0.01,0.04,0.25
EOGReadingGr3_GLP_LEP,0.42,0.29,0.3,0.29,0.58,0.0,0.01,0.03,0.24
EOGMathGr5_CACR_AIG,0.42,0.46,0.33,0.31,0.14,0.0,0.09,0.21,0.24
EOGScienceGr5_CACR_SWD,0.42,0.45,0.33,0.31,0.26,0.0,0.03,0.08,0.24
Partnership/S-corp net income (less loss) Amt LT25K,0.42,0.16,0.29,0.27,0.63,0.01,0.01,0.09,0.24
EOGMathGr3-8_CACR_AmericanIndian,0.42,0.48,0.33,0.31,0.35,0.0,0.0,0.02,0.24
EOGGr3_CACR_Hispanic,0.42,0.45,0.33,0.31,0.27,0.0,0.04,0.11,0.24
EOGScienceGr5_CACR_LEP,0.42,0.37,0.33,0.3,0.45,0.0,0.0,0.02,0.24
EOGGr5_CACR_AIG,0.42,0.4,0.31,0.29,0.23,0.0,0.08,0.22,0.24
EVAAS Growth Status_Met,0.42,0.45,0.34,0.33,0.39,0.0,0.0,0.01,0.24
EOGScienceGr5_CACR_Black,0.42,0.31,0.33,0.26,0.52,0.0,0.0,0.1,0.24
EOGMathGr4_CACR_Black,0.42,0.41,0.33,0.31,0.34,0.0,0.0,0.1,0.24
crime_per_c_num,0.42,0.41,0.33,0.31,0.1,0.04,0.0,0.27,0.24
EOG/EOCSubjects_CACR_AmericanIndian,0.42,0.45,0.33,0.32,0.36,0.0,0.0,0.04,0.24
Deductible points Ct LT25K,0.42,0.24,0.19,0.12,0.86,0.0,0.01,0.07,0.24
EOGMathGr5_CACR_EDS,0.42,0.4,0.33,0.35,0.23,0.01,0.07,0.13,0.24
(TCE) prepared returns Ct 75KLT100K,0.42,0.39,0.33,0.31,0.36,0.0,0.02,0.07,0.24
EOGScienceGr5&8_CACR_SWD,0.42,0.41,0.33,0.31,0.26,0.01,0.02,0.18,0.24
Not Demostrated_TCHR_Standard 4_Pct,0.42,0.41,0.33,0.31,0.44,0.0,0.0,0.02,0.24
EOGReadingGr5_GLP_SWD,0.42,0.4,0.33,0.31,0.4,0.0,0.02,0.07,0.24
EOGSubjects_CACR_AIG,0.42,0.0,0.26,0.11,0.81,0.01,0.05,0.3,0.24
EOGReadingGr5_GLP_AmericanIndian,0.42,0.49,0.33,0.31,0.35,0.0,0.0,0.01,0.24
EOGReadingGr4_GLP_SWD,0.42,0.33,0.27,0.24,0.5,0.0,0.06,0.13,0.24
EOGReadingGr4_CACR_Hispanic,0.42,0.4,0.33,0.31,0.37,0.0,0.02,0.06,0.24
Reading SPG Grade_C,0.42,0.46,0.33,0.32,0.28,0.0,0.04,0.09,0.24
EOGReadingGr4_CACR_EDS,0.42,0.43,0.33,0.31,0.12,0.01,0.09,0.23,0.24
EOGReadingGr3_CACR_EDS,0.42,0.39,0.33,0.29,0.18,0.01,0.12,0.21,0.24
lea_tchyrs_4thru10_pct,0.42,0.41,0.33,0.31,0.29,0.04,0.07,0.08,0.24
SRC_devices_sent_home_Yes,0.42,0.38,0.29,0.27,0.41,0.0,0.01,0.03,0.23
SPG Grade_C,0.42,0.3,0.29,0.26,0.53,0.0,0.0,0.05,0.23
SBE District_Northwest,0.42,0.41,0.33,0.34,0.18,0.0,0.05,0.08,0.23
(TCE) prepared returns Ct 100KLT200K,0.42,0.34,0.33,0.3,0.42,0.0,0.0,0.01,0.23
EOGMathGr3_GLP_SWD,0.42,0.39,0.27,0.25,0.3,0.0,0.06,0.13,0.23
books_per_student,0.42,0.44,0.33,0.31,0.29,0.04,0.0,0.03,0.23
EOGMathGr4_CACR_SWD,0.42,0.39,0.33,0.3,0.25,0.0,0.06,0.11,0.23
Avg Tot Income,0.42,0.35,0.33,0.31,0.26,0.02,0.03,0.1,0.23
stud_internet_comp_num,0.42,0.45,0.33,0.31,0.2,0.04,0.01,0.06,0.23
EOCMathI_CACR_Female,0.42,0.22,0.19,0.16,0.8,0.0,0.0,0.07,0.23
EOCMathI_CACR_TwoorMoreRaces,0.42,0.39,0.33,0.28,0.3,0.0,0.0,0.14,0.23
EOCMathI_CACR_White,0.42,0.44,0.33,0.31,0.32,0.0,0.0,0.04,0.23
EOG/EOCSubjects_CACR_TwoorMoreRaces,0.42,0.42,0.33,0.31,0.15,0.02,0.04,0.13,0.23
EOGGr3_CACR_Asian,0.42,0.38,0.31,0.28,0.34,0.0,0.02,0.09,0.23
EOGGr3_CACR_Black,0.42,0.45,0.33,0.31,0.21,0.0,0.01,0.09,0.23
EOGGr4_CACR_EDS,0.42,0.43,0.33,0.31,0.02,0.0,0.1,0.24,0.23
EOGGr5_CACR_Hispanic,0.42,0.38,0.31,0.27,0.33,0.01,0.05,0.08,0.23
Number of refund anticipation loan returns 50KLT75K,0.42,0.47,0.34,0.38,0.17,0.0,0.0,0.05,0.23
EOGMathGr4_CACR_Asian,0.42,0.46,0.33,0.33,0.25,0.0,0.01,0.03,0.23
EOGMathGr5_CACR_SWD,0.42,0.4,0.33,0.31,0.26,0.0,0.03,0.07,0.23
EOGReadingGr3-8_GLP_SWD,0.42,0.44,0.33,0.31,0.06,0.01,0.09,0.16,0.23
lea_books_per_student,0.42,0.28,0.33,0.17,0.61,0.02,0.01,0.03,0.23
EOGReadingGr5_CACR_AmericanIndian,0.42,0.44,0.33,0.31,0.31,0.0,0.0,0.01,0.23
EOGScienceGr5&8_CACR_AmericanIndian,0.42,0.38,0.33,0.3,0.35,0.0,0.0,0.02,0.23
EOGSubjects_CACR_AmericanIndian,0.42,0.4,0.33,0.31,0.35,0.0,0.0,0.04,0.23
EOGSubjects_CACR_Black,0.42,0.37,0.33,0.31,0.2,0.01,0.01,0.17,0.23
"calendar_type_txt_Special Education, Traditional Calendar",0.42,0.46,0.33,0.37,0.28,0.0,0.0,0.01,0.23
Math SPG Grade_F,0.42,0.4,0.31,0.3,0.22,0.0,0.08,0.14,0.23
pct_GCE_ALL,0.42,0.37,0.22,0.17,0.41,0.01,0.02,0.11,0.22
lea_avg_student_num,0.42,0.41,0.33,0.31,0.18,0.02,0.0,0.07,0.22
_1_to_1_access_Yes,0.42,0.45,0.33,0.32,0.17,0.0,0.01,0.03,0.22
calendar_type_txt_Hospital School,0.42,0.45,0.33,0.31,0.22,0.0,0.0,0.01,0.22
wap_num,0.42,0.42,0.33,0.31,0.02,0.04,0.01,0.19,0.22
TotalTargets_pTarget_PctMet,0.42,0.26,0.17,0.09,0.73,0.0,0.01,0.11,0.22
wap_per_classroom,0.42,0.44,0.33,0.31,0.19,0.05,0.02,0.04,0.22
State Gap Compared_Y,0.42,0.41,0.33,0.31,0.2,0.0,0.02,0.06,0.22
EOCSubjects_CACR_Asian,0.42,0.41,0.33,0.31,0.24,0.0,0.0,0.08,0.22
EOG/EOCSubjects_CACR_Hispanic,0.42,0.43,0.33,0.31,0.08,0.02,0.09,0.11,0.22
EOGGr3_CACR_AmericanIndian,0.42,0.38,0.33,0.31,0.34,0.0,0.0,0.02,0.22
EOGReadingGr5_CACR_Hispanic,0.42,0.4,0.33,0.31,0.19,0.01,0.01,0.06,0.22
EOGReadingGr5_CACR_Black,0.42,0.41,0.33,0.31,0.23,0.0,0.0,0.1,0.22
EOGGr4_CACR_Asian,0.42,0.45,0.33,0.31,0.18,0.0,0.02,0.05,0.22
EOGGr4_CACR_Hispanic,0.42,0.43,0.33,0.31,0.12,0.01,0.04,0.08,0.22
EOGGr4_CACR_TwoorMoreRaces,0.42,0.39,0.3,0.27,0.38,0.0,0.01,0.03,0.22
EOGGr5_CACR_LEP,0.42,0.4,0.33,0.29,0.24,0.0,0.01,0.04,0.22
EOGReadingGr3-8_CACR_LEP,0.42,0.44,0.33,0.31,0.2,0.01,0.02,0.04,0.22
EOGReadingGr3-8_CACR_Hispanic,0.42,0.44,0.33,0.31,0.14,0.01,0.03,0.1,0.22
EOGMathGr3-8_CACR_Hispanic,0.42,0.41,0.33,0.31,0.13,0.01,0.05,0.13,0.22
EOGMathGr5_CACR_Asian,0.42,0.39,0.33,0.31,0.25,0.0,0.01,0.06,0.22
EOGMathGr5_CACR_AmericanIndian,0.42,0.4,0.33,0.31,0.31,0.0,0.0,0.02,0.22
EOGMathGr3_CACR_AIG,0.42,0.42,0.33,0.31,0.15,0.0,0.04,0.12,0.22
EOGMathGr3_CACR_AmericanIndian,0.42,0.44,0.33,0.31,0.23,0.0,0.0,0.02,0.22
EOGMathGr3_CACR_Hispanic,0.42,0.4,0.33,0.3,0.21,0.01,0.01,0.07,0.22
EOGScienceGr5&8_CACR_Asian,0.42,0.46,0.33,0.31,0.24,0.0,0.01,0.03,0.22
Investment interest paid Amt LT25K,0.42,0.27,0.12,0.09,0.82,0.0,0.01,0.05,0.22
EOCMathI_GLP_LEP,0.42,0.4,0.33,0.31,0.22,0.0,0.0,0.1,0.22
EOCMathI_CACR_SWD,0.42,0.45,0.33,0.31,0.15,0.0,0.0,0.11,0.22
SPG Grade_F,0.42,0.44,0.33,0.35,0.04,0.0,0.07,0.13,0.22
EOGSubjects_CACR_TwoorMoreRaces,0.42,0.42,0.33,0.31,0.04,0.01,0.04,0.15,0.22
00_Size,0.42,0.41,0.3,0.29,0.16,0.01,0.06,0.15,0.22
EVAAS Growth Status_NotMet,0.42,0.39,0.33,0.3,0.22,0.0,0.02,0.06,0.22
Reading SPG Grade_F,0.42,0.41,0.33,0.31,0.12,0.0,0.06,0.13,0.22
Exceeds Expected Growth_TCHR_Student Growth_Pct,0.42,0.43,0.3,0.29,0.05,0.04,0.07,0.13,0.22
EOCMathI_CACR_Black,0.42,0.43,0.33,0.31,0.07,0.01,0.02,0.17,0.22
Pct of Elderly Returns,0.42,0.24,0.22,0.12,0.71,0.01,0.01,0.06,0.22
Meets Expected Growth_TCHR_Student Growth_Pct,0.42,0.44,0.33,0.31,0.14,0.04,0.02,0.07,0.22
Byod_Yes,0.42,0.44,0.33,0.32,0.17,0.0,0.01,0.03,0.22
Crime_Rate_Index_Rate,0.42,0.09,0.18,0.13,0.75,0.01,0.01,0.06,0.21
02_Size,0.42,0.41,0.29,0.29,0.08,0.01,0.06,0.14,0.21
EOCSubjects_CACR_AmericanIndian,0.42,0.44,0.33,0.31,0.11,0.0,0.0,0.04,0.21
EOGMathGr3-8_CACR_Asian,0.42,0.42,0.33,0.31,0.13,0.0,0.02,0.06,0.21
EOGGr5_CACR_TwoorMoreRaces,0.42,0.41,0.33,0.31,0.16,0.0,0.02,0.06,0.21
EOCSubjects_CACR_Black,0.42,0.41,0.33,0.31,0.03,0.01,0.01,0.14,0.21
EOGGr3_CACR_LEP,0.42,0.41,0.33,0.31,0.1,0.0,0.02,0.07,0.21
EOCMathI_CACR_LEP,0.42,0.44,0.33,0.31,0.11,0.0,0.0,0.08,0.21
EOGGr3_CACR_AIG,0.42,0.43,0.33,0.32,0.01,0.0,0.05,0.1,0.21
EOGMathGr3_CACR_Asian,0.42,0.41,0.33,0.31,0.13,0.0,0.01,0.05,0.21
EOGMathGr4_CACR_LEP,0.42,0.44,0.33,0.31,0.16,0.0,0.0,0.04,0.21
EOGMathGr3_CACR_SWD,0.42,0.42,0.33,0.31,0.05,0.0,0.05,0.13,0.21
EOGReadingGr3_CACR_SWD,0.42,0.43,0.33,0.3,0.07,0.0,0.05,0.1,0.21
SPG Grade_A+NG,0.42,0.43,0.33,0.31,0.11,0.0,0.01,0.04,0.21
NC Math 1 Score,0.42,0.42,0.33,0.31,0.09,0.0,0.0,0.09,0.21
EOGScienceGr5_GLP_LEP,0.42,0.44,0.33,0.31,0.13,0.0,0.0,0.02,0.21
EOGReadingGr4_CACR_Black,0.42,0.41,0.33,0.3,0.12,0.0,0.0,0.09,0.21
expelled_per_c_num,0.42,0.41,0.33,0.31,0.19,0.0,0.0,0.01,0.21
SPG Grade_I,0.42,0.3,0.19,0.16,0.6,0.0,0.0,0.01,0.21
EOGScienceGr5&8_GLP_LEP,0.42,0.41,0.33,0.31,0.1,0.0,0.0,0.06,0.2
EOGReadingGr5_GLP_LEP,0.42,0.42,0.33,0.31,0.09,0.0,0.0,0.01,0.2
EOCMathI_CACR_Asian,0.42,0.42,0.33,0.31,0.06,0.0,0.0,0.07,0.2
EOGReadingGr3-8_CACR_AmericanIndian,0.42,0.41,0.33,0.31,0.1,0.0,0.0,0.01,0.2
EOCMathI_CACR_AmericanIndian,0.42,0.41,0.33,0.31,0.11,0.0,0.0,0.02,0.2
EOCMathI_GLP_SWD,0.42,0.41,0.33,0.31,0.0,0.0,0.0,0.13,0.2
EOGGr5_CACR_Black,0.42,0.43,0.33,0.31,0.03,0.0,0.01,0.1,0.2
EOGScienceGr5&8_CACR_TwoorMoreRaces,0.42,0.42,0.33,0.31,0.09,0.0,0.0,0.07,0.2
EOGScienceGr5&8_CACR_LEP,0.42,0.43,0.33,0.31,0.09,0.0,0.0,0.06,0.2
EOGMathGr3_CACR_TwoorMoreRaces,0.42,0.43,0.33,0.31,0.08,0.0,0.0,0.02,0.2
EOGMathGr4_CACR_TwoorMoreRaces,0.42,0.43,0.33,0.31,0.07,0.0,0.0,0.01,0.2
Home mortgage interest paid from personal seller Amt LT25K,0.42,0.22,0.33,0.16,0.41,0.0,0.01,0.09,0.2
EOGReadingGr4_GLP_LEP,0.42,0.41,0.33,0.31,0.15,0.0,0.0,0.02,0.2
EOGGr3_CACR_TwoorMoreRaces,0.42,0.42,0.33,0.31,0.04,0.0,0.01,0.03,0.2
lea_expelled_per_c_num,0.42,0.37,0.16,0.11,0.46,0.0,0.01,0.03,0.2
lea_emer_prov_teach_pct,0.42,0.41,0.33,0.31,0.05,0.02,0.0,0.03,0.2
EOGReadingGr3_CACR_Hispanic,0.42,0.42,0.33,0.31,0.06,0.01,0.02,0.07,0.2
EOGGr5_CACR_Asian,0.42,0.43,0.33,0.31,0.01,0.0,0.02,0.06,0.2
EOCMathI_CACR_EDS,0.42,0.43,0.31,0.31,0.01,0.01,0.0,0.1,0.2
Not Demostrated_TCHR_Standard 2_Pct,0.42,0.42,0.33,0.31,0.02,0.0,0.0,0.03,0.19
EOGReadingGr3_CACR_AmericanIndian,0.42,0.43,0.33,0.31,0.03,0.0,0.0,0.01,0.19
"calendar_type_txt_Vocational Education, Traditional Calendar",0.42,0.42,0.33,0.31,0.03,0.0,0.0,0.02,0.19
EOGScienceGr5_CACR_AmericanIndian,0.42,0.4,0.33,0.31,0.06,0.0,0.0,0.01,0.19
EOGReadingGr5_CACR_LEP,0.42,0.43,0.33,0.31,0.0,0.0,0.0,0.02,0.19
EOGGr4_CACR_AmericanIndian,0.42,0.42,0.33,0.31,0.02,0.0,0.0,0.02,0.19
EOGGr5_CACR_AmericanIndian,0.42,0.43,0.33,0.31,0.04,0.0,0.0,0.02,0.19
EOGReadingGr4_CACR_LEP,0.42,0.42,0.33,0.31,0.01,0.0,0.0,0.01,0.19
Avg Dependents Per Ret,0.42,0.08,0.17,0.0,0.46,0.01,0.04,0.07,0.16
Pct of Anticipation Loans,0.42,0.35,0.0,0.0,0.37,0.03,0.01,0.04,0.15
Domestic production activities deduction Amt 75KLT100K,0.42,0.17,0.13,0.09,0.05,0.01,0.01,0.08,0.12
Year,0.39,0.43,0.33,0.31,0.93,0.0,,0.0,
